Experiment Name,Model,Window,Eval Date,Num Samples,TN_@k=50,FP_@k=50,FN_@k=50,TP_@k=50,TN_@k=60,FP_@k=60,FN_@k=60,TP_@k=60,precision_@k=50,precision_@k=60,recall_@k=50,recall_@k=60,accuracy_@k=50,accuracy_@k=60,balanced_acc_@k=50,balanced_acc_@k=60,f1_score_@k=50,f1_score_@k=60,log_loss_@k=50,log_loss_@k=60,roc_auc_score_@k=50,roc_auc_score_@k=60,brier_score_loss_@k=50,brier_score_loss_@k=60,Prediction Source,Referral Source,Result Output,Start Time,End Time,Total Time
Version 1.0,lin_reg,2016/10-2017/07,2017-01-01 00:00:00.000000000,495,442.00000,49.00000, 3.00000, 1.00000,433.00000,58.00000, 2.00000, 2.00000, 0.02000, 0.03333, 0.25000, 0.50000, 0.25000, 0.50000, 0.57510, 0.69094, 0.03704, 0.06250, 0.98694, 0.98694, 0.52749, 0.52749, 0.32991, 0.32991,../newdata/predictions/predictions.csv,../newdata/referrals/referrals.csv,../newdata/results/results.csv,2020-05-22 00:03:53.626000896,2020-05-22 00:03:53.664381952,0 days 00:00:00.038381056
Version 1.0,lin_reg,2017/01-2017/04,2017-01-01 00:00:00.000000000,495,442.00000,49.00000, 3.00000, 1.00000,433.00000,58.00000, 2.00000, 2.00000, 0.02000, 0.03333, 0.25000, 0.50000, 0.25000, 0.50000, 0.57510, 0.69094, 0.03704, 0.06250, 0.98694, 0.98694, 0.52749, 0.52749, 0.32991, 0.32991,../newdata/predictions/predictions.csv,../newdata/referrals/referrals.csv,../newdata/results/results.csv,2020-05-22 00:03:53.667375104,2020-05-22 00:03:53.679662080,0 days 00:00:00.012286976
Version 1.0,lin_reg,2017/01-2017/07,2017-01-01 00:00:00.000000000,495,442.00000,49.00000, 3.00000, 1.00000,433.00000,58.00000, 2.00000, 2.00000, 0.02000, 0.03333, 0.25000, 0.50000, 0.25000, 0.50000, 0.57510, 0.69094, 0.03704, 0.06250, 0.98694, 0.98694, 0.52749, 0.52749, 0.32991, 0.32991,../newdata/predictions/predictions.csv,../newdata/referrals/referrals.csv,../newdata/results/results.csv,2020-05-22 00:03:53.680668928,2020-05-22 00:03:53.694106112,0 days 00:00:00.013437184
Version 1.0,lin_reg,2017/01-2018/01,2017-01-01 00:00:00.000000000,495,439.00000,49.00000, 6.00000, 1.00000,430.00000,58.00000, 5.00000, 2.00000, 0.02000, 0.03333, 0.14286, 0.28571, 0.14286, 0.28571, 0.52122, 0.58343, 0.03509, 0.05970, 0.98211, 0.98211, 0.59456, 0.59456, 0.32780, 0.32780,../newdata/predictions/predictions.csv,../newdata/referrals/referrals.csv,../newdata/results/results.csv,2020-05-22 00:03:53.694585088,2020-05-22 00:03:53.707889920,0 days 00:00:00.013304832
Version 1.0,rand_forest,2016/10-2017/07,2017-01-01 00:00:00.000000000,495,443.00000,48.00000, 2.00000, 2.00000,433.00000,58.00000, 2.00000, 2.00000, 0.04000, 0.03333, 0.50000, 0.50000, 0.50000, 0.50000, 0.70112, 0.69094, 0.07407, 0.06250, 0.98813, 0.98813, 0.64358, 0.64358, 0.32953, 0.32953,../newdata/predictions/predictions.csv,../newdata/referrals/referrals.csv,../newdata/results/results.csv,2020-05-22 00:03:53.708913920,2020-05-22 00:03:53.721202944,0 days 00:00:00.012289024
Version 1.0,rand_forest,2017/01-2017/04,2017-01-01 00:00:00.000000000,495,443.00000,48.00000, 2.00000, 2.00000,433.00000,58.00000, 2.00000, 2.00000, 0.04000, 0.03333, 0.50000, 0.50000, 0.50000, 0.50000, 0.70112, 0.69094, 0.07407, 0.06250, 0.98813, 0.98813, 0.64358, 0.64358, 0.32953, 0.32953,../newdata/predictions/predictions.csv,../newdata/referrals/referrals.csv,../newdata/results/results.csv,2020-05-22 00:03:53.722200064,2020-05-22 00:03:53.735692032,0 days 00:00:00.013491968
Version 1.0,rand_forest,2017/01-2017/07,2017-01-01 00:00:00.000000000,495,443.00000,48.00000, 2.00000, 2.00000,433.00000,58.00000, 2.00000, 2.00000, 0.04000, 0.03333, 0.50000, 0.50000, 0.50000, 0.50000, 0.70112, 0.69094, 0.07407, 0.06250, 0.98813, 0.98813, 0.64358, 0.64358, 0.32953, 0.32953,../newdata/predictions/predictions.csv,../newdata/referrals/referrals.csv,../newdata/results/results.csv,2020-05-22 00:03:53.736708096,2020-05-22 00:03:53.749107968,0 days 00:00:00.012399872
Version 1.0,rand_forest,2017/01-2018/01,2017-01-01 00:00:00.000000000,495,440.00000,48.00000, 5.00000, 2.00000,430.00000,58.00000, 5.00000, 2.00000, 0.04000, 0.03333, 0.28571, 0.28571, 0.28571, 0.28571, 0.59368, 0.58343, 0.07018, 0.05970, 0.98659, 0.98659, 0.61300, 0.61300, 0.32879, 0.32879,../newdata/predictions/predictions.csv,../newdata/referrals/referrals.csv,../newdata/results/results.csv,2020-05-22 00:03:53.750115072,2020-05-22 00:03:53.763420928,0 days 00:00:00.013305856
Version 1.0,xg_boost,2016/10-2017/07,2017-01-01 00:00:00.000000000,495,441.00000,50.00000, 4.00000, 0.00000,431.00000,60.00000, 4.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.44908, 0.43890, 0.00000, 0.00000, 1.04143, 1.04143, 0.31976, 0.31976, 0.34027, 0.34027,../newdata/predictions/predictions.csv,../newdata/referrals/referrals.csv,../newdata/results/results.csv,2020-05-22 00:03:53.764442112,2020-05-22 00:03:53.776923904,0 days 00:00:00.012481792
Version 1.0,xg_boost,2017/01-2017/04,2017-01-01 00:00:00.000000000,495,441.00000,50.00000, 4.00000, 0.00000,431.00000,60.00000, 4.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.44908, 0.43890, 0.00000, 0.00000, 1.04143, 1.04143, 0.31976, 0.31976, 0.34027, 0.34027,../newdata/predictions/predictions.csv,../newdata/referrals/referrals.csv,../newdata/results/results.csv,2020-05-22 00:03:53.777928960,2020-05-22 00:03:53.791260928,0 days 00:00:00.013331968
