Experiment Name,Model,Window,Eval Date,Num Samples,TN_@k=50,FP_@k=50,FN_@k=50,TP_@k=50,TN_@p>=0.5,FP_@p>=0.5,FN_@p>=0.5,TP_@p>=0.5,precision_@k=50,precision_@p>=0.5,recall_@k=50,recall_@p>=0.5,accuracy_@k=50,accuracy_@p>=0.5,balanced_acc_@k=50,balanced_acc_@p>=0.5,f1_score_@k=50,f1_score_@p>=0.5,log_loss,roc_auc_score,brier_score_loss,Prediction Source,Referral Source,Result Output,Start Time,End Time,Total Time
Version 1.0,lin_reg,201601-201607,201601,499,446.00000,50.00000, 3.00000, 0.00000,239.00000,257.00000, 1.00000, 2.00000, 0.00000, 0.00772, 0.00000, 0.66667, 0.89379, 0.48297, 0.44960, 0.57426, 0.00000, 0.01527, 1.06484, 0.67742, 0.35288,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:08.517470-04:00,2020-06-21 21:29:08.542403-04:00,0 days 00:00:00.024933000
Version 1.0,rand_forest,201601-201607,201601,499,446.00000,50.00000, 3.00000, 0.00000,242.00000,254.00000, 1.00000, 2.00000, 0.00000, 0.00781, 0.00000, 0.66667, 0.89379, 0.48898, 0.44960, 0.57728, 0.00000, 0.01544, 1.03633, 0.37366, 0.34200,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:08.545395-04:00,2020-06-21 21:29:08.553374-04:00,0 days 00:00:00.007979000
Version 1.0,xg_boost,201601-201607,201601,499,446.00000,50.00000, 3.00000, 0.00000,244.00000,252.00000, 2.00000, 1.00000, 0.00000, 0.00395, 0.00000, 0.33333, 0.89379, 0.49098, 0.44960, 0.41263, 0.00000, 0.00781, 0.95829, 0.43280, 0.33071,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:08.554371-04:00,2020-06-21 21:29:08.562356-04:00,0 days 00:00:00.007985000
Version 1.0,sgmm,201601-201607,201601,499,447.00000,49.00000, 2.00000, 1.00000,258.00000,238.00000, 0.00000, 3.00000, 0.02000, 0.01245, 0.33333, 1.00000, 0.89780, 0.52305, 0.61727, 0.76008, 0.03774, 0.02459, 0.92405, 0.85820, 0.31278,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:08.562356-04:00,2020-06-21 21:29:08.570328-04:00,0 days 00:00:00.007972000
Version 1.0,lin_reg,201602-201608,201602,499,443.00000,50.00000, 6.00000, 0.00000,244.00000,249.00000, 4.00000, 2.00000, 0.00000, 0.00797, 0.00000, 0.33333, 0.88778, 0.49299, 0.44929, 0.41413, 0.00000, 0.01556, 0.97500, 0.37627, 0.32901,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:08.719820-04:00,2020-06-21 21:29:08.745616-04:00,0 days 00:00:00.025796000
Version 1.0,rand_forest,201602-201608,201602,499,443.00000,50.00000, 6.00000, 0.00000,256.00000,237.00000, 3.00000, 3.00000, 0.00000, 0.01250, 0.00000, 0.50000, 0.88778, 0.51904, 0.44929, 0.50963, 0.00000, 0.02439, 0.98569, 0.36883, 0.32667,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:08.747619-04:00,2020-06-21 21:29:08.755613-04:00,0 days 00:00:00.007994000
Version 1.0,xg_boost,201602-201608,201602,499,443.00000,50.00000, 6.00000, 0.00000,242.00000,251.00000, 5.00000, 1.00000, 0.00000, 0.00397, 0.00000, 0.16667, 0.88778, 0.48697, 0.44929, 0.32877, 0.00000, 0.00775, 0.99408, 0.29986, 0.33544,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:08.756614-04:00,2020-06-21 21:29:08.764578-04:00,0 days 00:00:00.007964000
Version 1.0,sgmm,201602-201608,201602,499,443.00000,50.00000, 6.00000, 0.00000,235.00000,258.00000, 4.00000, 2.00000, 0.00000, 0.00769, 0.00000, 0.33333, 0.88778, 0.47495, 0.44929, 0.40500, 0.00000, 0.01504, 1.00171, 0.34145, 0.34155,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:08.764578-04:00,2020-06-21 21:29:08.772487-04:00,0 days 00:00:00.007909000
Version 1.0,lin_reg,201603-201609,201603,498,442.00000,50.00000, 6.00000, 0.00000,237.00000,255.00000, 4.00000, 2.00000, 0.00000, 0.00778, 0.00000, 0.33333, 0.88755, 0.47992, 0.44919, 0.40752, 0.00000, 0.01521, 1.04957, 0.38347, 0.34471,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:08.924037-04:00,2020-06-21 21:29:08.947973-04:00,0 days 00:00:00.023936000
Version 1.0,rand_forest,201603-201609,201603,498,442.00000,50.00000, 6.00000, 0.00000,253.00000,239.00000, 3.00000, 3.00000, 0.00000, 0.01240, 0.00000, 0.50000, 0.88755, 0.51406, 0.44919, 0.50711, 0.00000, 0.02419, 0.99961, 0.51524, 0.33515,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:08.949967-04:00,2020-06-21 21:29:08.957946-04:00,0 days 00:00:00.007979000
Version 1.0,xg_boost,201603-201609,201603,498,443.00000,49.00000, 5.00000, 1.00000,246.00000,246.00000, 3.00000, 3.00000, 0.02000, 0.01205, 0.16667, 0.50000, 0.89157, 0.50000, 0.53354, 0.50000, 0.03571, 0.02353, 0.95363, 0.47459, 0.32648,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:08.958943-04:00,2020-06-21 21:29:08.965925-04:00,0 days 00:00:00.006982000
Version 1.0,sgmm,201603-201609,201603,498,443.00000,49.00000, 5.00000, 1.00000,248.00000,244.00000, 3.00000, 3.00000, 0.02000, 0.01215, 0.16667, 0.50000, 0.89157, 0.50402, 0.53354, 0.50203, 0.03571, 0.02372, 1.03810, 0.43056, 0.34485,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:08.966922-04:00,2020-06-21 21:29:08.977893-04:00,0 days 00:00:00.010971000
Version 1.0,lin_reg,201604-201610,201604,498,442.00000,50.00000, 6.00000, 0.00000,243.00000,249.00000, 2.00000, 4.00000, 0.00000, 0.01581, 0.00000, 0.66667, 0.88755, 0.49598, 0.44919, 0.58028, 0.00000, 0.03089, 1.01368, 0.52778, 0.33467,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.132450-04:00,2020-06-21 21:29:09.172057-04:00,0 days 00:00:00.039607000
Version 1.0,rand_forest,201604-201610,201604,498,442.00000,50.00000, 6.00000, 0.00000,258.00000,234.00000, 3.00000, 3.00000, 0.00000, 0.01266, 0.00000, 0.50000, 0.88755, 0.52410, 0.44919, 0.51220, 0.00000, 0.02469, 0.95621, 0.52337, 0.31715,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.174994-04:00,2020-06-21 21:29:09.185965-04:00,0 days 00:00:00.010971000
Version 1.0,xg_boost,201604-201610,201604,498,442.00000,50.00000, 6.00000, 0.00000,238.00000,254.00000, 3.00000, 3.00000, 0.00000, 0.01167, 0.00000, 0.50000, 0.88755, 0.48394, 0.44919, 0.49187, 0.00000, 0.02281, 1.02920, 0.51186, 0.34886,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.185965-04:00,2020-06-21 21:29:09.195938-04:00,0 days 00:00:00.009973000
Version 1.0,sgmm,201604-201610,201604,498,442.00000,50.00000, 6.00000, 0.00000,267.00000,225.00000, 2.00000, 4.00000, 0.00000, 0.01747, 0.00000, 0.66667, 0.88755, 0.54418, 0.44919, 0.60467, 0.00000, 0.03404, 0.89872, 0.52744, 0.30222,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.196935-04:00,2020-06-21 21:29:09.204913-04:00,0 days 00:00:00.007978000
Version 1.0,lin_reg,201605-201611,201605,497,441.00000,50.00000, 6.00000, 0.00000,250.00000,241.00000, 6.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.88732, 0.50302, 0.44908, 0.25458, 0.00000, 0.00000, 0.97942, 0.35777, 0.32590,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.358590-04:00,2020-06-21 21:29:09.384628-04:00,0 days 00:00:00.026038000
Version 1.0,rand_forest,201605-201611,201605,497,441.00000,50.00000, 6.00000, 0.00000,237.00000,254.00000, 5.00000, 1.00000, 0.00000, 0.00392, 0.00000, 0.16667, 0.88732, 0.47887, 0.44908, 0.32468, 0.00000, 0.00766, 1.01507, 0.26188, 0.33901,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.387620-04:00,2020-06-21 21:29:09.397882-04:00,0 days 00:00:00.010262000
Version 1.0,xg_boost,201605-201611,201605,497,441.00000,50.00000, 6.00000, 0.00000,246.00000,245.00000, 1.00000, 5.00000, 0.00000, 0.02000, 0.00000, 0.83333, 0.88732, 0.50503, 0.44908, 0.66718, 0.00000, 0.03906, 0.98744, 0.66124, 0.33091,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.398857-04:00,2020-06-21 21:29:09.407863-04:00,0 days 00:00:00.009006000
Version 1.0,sgmm,201605-201611,201605,497,441.00000,50.00000, 6.00000, 0.00000,263.00000,228.00000, 3.00000, 3.00000, 0.00000, 0.01299, 0.00000, 0.50000, 0.88732, 0.53521, 0.44908, 0.51782, 0.00000, 0.02532, 0.98665, 0.42702, 0.32395,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.408861-04:00,2020-06-21 21:29:09.416820-04:00,0 days 00:00:00.007959000
Version 1.0,lin_reg,201606-201612,201606,496,441.00000,50.00000, 5.00000, 0.00000,237.00000,254.00000, 3.00000, 2.00000, 0.00000, 0.00781, 0.00000, 0.40000, 0.88911, 0.48185, 0.44908, 0.44134, 0.00000, 0.01533, 0.99491, 0.51853, 0.33651,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.575887-04:00,2020-06-21 21:29:09.601987-04:00,0 days 00:00:00.026100000
Version 1.0,rand_forest,201606-201612,201606,496,442.00000,49.00000, 4.00000, 1.00000,239.00000,252.00000, 3.00000, 2.00000, 0.02000, 0.00787, 0.20000, 0.40000, 0.89315, 0.48589, 0.55010, 0.44338, 0.03636, 0.01544, 0.94912, 0.42037, 0.32930,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.604909-04:00,2020-06-21 21:29:09.612895-04:00,0 days 00:00:00.007986000
Version 1.0,xg_boost,201606-201612,201606,496,442.00000,49.00000, 4.00000, 1.00000,245.00000,246.00000, 3.00000, 2.00000, 0.02000, 0.00806, 0.20000, 0.40000, 0.89315, 0.49798, 0.55010, 0.44949, 0.03636, 0.01581, 0.94510, 0.51365, 0.32423,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.613889-04:00,2020-06-21 21:29:09.621879-04:00,0 days 00:00:00.007990000
Version 1.0,sgmm,201606-201612,201606,496,442.00000,49.00000, 4.00000, 1.00000,245.00000,246.00000, 2.00000, 3.00000, 0.02000, 0.01205, 0.20000, 0.60000, 0.89315, 0.50000, 0.55010, 0.54949, 0.03636, 0.02362, 1.00273, 0.57637, 0.33431,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.621879-04:00,2020-06-21 21:29:09.629870-04:00,0 days 00:00:00.007991000
Version 1.0,lin_reg,201607-201701,201607,496,441.00000,49.00000, 5.00000, 1.00000,251.00000,239.00000, 4.00000, 2.00000, 0.02000, 0.00830, 0.16667, 0.33333, 0.89113, 0.51008, 0.53333, 0.42279, 0.03571, 0.01619, 1.00901, 0.45612, 0.33368,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.801933-04:00,2020-06-21 21:29:09.826886-04:00,0 days 00:00:00.024953000
Version 1.0,rand_forest,201607-201701,201607,496,441.00000,49.00000, 5.00000, 1.00000,255.00000,235.00000, 4.00000, 2.00000, 0.02000, 0.00844, 0.16667, 0.33333, 0.89113, 0.51815, 0.53333, 0.42687, 0.03571, 0.01646, 0.90987, 0.56905, 0.30925,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.829878-04:00,2020-06-21 21:29:09.836891-04:00,0 days 00:00:00.007013000
Version 1.0,xg_boost,201607-201701,201607,496,440.00000,50.00000, 6.00000, 0.00000,245.00000,245.00000, 3.00000, 3.00000, 0.00000, 0.01210, 0.00000, 0.50000, 0.88710, 0.50000, 0.44898, 0.50000, 0.00000, 0.02362, 0.98305, 0.36701, 0.33291,predictions.csv,referrals.csv,results.csv,2020-06-21 21:29:09.837895-04:00,2020-06-21 21:29:09.845891-04:00,0 days 00:00:00.007996000
